dataset,tree_type,flip_percentage,parameters,fold,accuracy
BreastCancer,CART,30,0.01,1,0.8971428571428571
BreastCancer,CART,30,0.1,1,0.6628571428571428
BreastCancer,CART,30,1,1,0.6628571428571428
BreastCancer,CART,30,10,1,0.6628571428571428
BreastCancer,CART,30,100,1,0.6628571428571428
BreastCancer,CART,30,1000,1,0.6628571428571428
BreastCancer,CART,30,10000,1,0.6628571428571428
BreastCancer,CART,30,100000,1,0.6628571428571428
BreastCancer,CART,30,1e-05,2,0.9771428571428571
BreastCancer,CART,30,0.0001,2,0.9771428571428571
BreastCancer,CART,30,0.001,2,0.9771428571428571
BreastCancer,CART,30,0.01,2,0.9428571428571428
BreastCancer,CART,30,0.1,2,0.6
BreastCancer,CART,30,1,2,0.6
BreastCancer,CART,30,10,2,0.6
BreastCancer,CART,30,100,2,0.6
BreastCancer,CART,30,1000,2,0.6
BreastCancer,CART,30,10000,2,0.6
BreastCancer,CART,30,100000,2,0.6
BreastCancer,CART,30,1e-05,3,0.9314285714285714
BreastCancer,CART,30,0.0001,3,0.9314285714285714
BreastCancer,CART,30,0.001,3,0.9314285714285714
BreastCancer,CART,30,0.01,3,0.8914285714285715
BreastCancer,CART,30,0.1,3,0.6457142857142857
BreastCancer,CART,30,1,3,0.6457142857142857
BreastCancer,CART,30,10,3,0.6457142857142857
BreastCancer,CART,30,100,3,0.6457142857142857
BreastCancer,CART,30,1000,3,0.6457142857142857
BreastCancer,CART,30,10000,3,0.6457142857142857
BreastCancer,CART,30,100000,3,0.6457142857142857
BreastCancer,CART,30,1e-05,4,0.9195402298850575
BreastCancer,CART,30,0.0001,4,0.9195402298850575
BreastCancer,CART,30,0.001,4,0.9195402298850575
BreastCancer,CART,30,0.01,4,0.9080459770114943
BreastCancer,CART,30,0.1,4,0.7126436781609196
BreastCancer,CART,30,1,4,0.7126436781609196
BreastCancer,CART,30,10,4,0.7126436781609196
BreastCancer,CART,30,100,4,0.7126436781609196
BreastCancer,CART,30,1000,4,0.7126436781609196
BreastCancer,CART,30,10000,4,0.7126436781609196
BreastCancer,CART,30,100000,4,0.7126436781609196
BreastCancer,CART,40,1e-05,1,0.84
BreastCancer,CART,40,0.0001,1,0.84
BreastCancer,CART,40,0.001,1,0.84
BreastCancer,CART,40,0.01,1,0.7828571428571428
BreastCancer,CART,40,0.1,1,0.6285714285714286
BreastCancer,CART,40,1,1,0.6285714285714286
BreastCancer,CART,40,10,1,0.6285714285714286
BreastCancer,CART,40,100,1,0.6285714285714286
BreastCancer,CART,40,1000,1,0.6285714285714286
BreastCancer,CART,40,10000,1,0.6285714285714286
BreastCancer,CART,40,100000,1,0.6285714285714286
BreastCancer,CART,40,1e-05,2,0.92
BreastCancer,CART,40,0.0001,2,0.92
BreastCancer,CART,40,0.001,2,0.92
BreastCancer,CART,40,0.01,2,0.8114285714285714
BreastCancer,CART,40,0.1,2,0.6685714285714286
BreastCancer,CART,40,1,2,0.6685714285714286
BreastCancer,CART,40,10,2,0.6685714285714286
BreastCancer,CART,40,100,2,0.6685714285714286
BreastCancer,CART,40,1000,2,0.6685714285714286
BreastCancer,CART,40,10000,2,0.6685714285714286
BreastCancer,CART,40,100000,2,0.6685714285714286
BreastCancer,CART,40,1e-05,3,0.9085714285714286
BreastCancer,CART,40,0.0001,3,0.9085714285714286
BreastCancer,CART,40,0.001,3,0.9085714285714286
BreastCancer,CART,40,0.01,3,0.9085714285714286
BreastCancer,CART,40,0.1,3,0.7028571428571428
BreastCancer,CART,40,1,3,0.7028571428571428
BreastCancer,CART,40,10,3,0.7028571428571428
BreastCancer,CART,40,100,3,0.7028571428571428
BreastCancer,CART,40,1000,3,0.7028571428571428
BreastCancer,CART,40,10000,3,0.7028571428571428
BreastCancer,CART,40,100000,3,0.7028571428571428
BreastCancer,CART,40,1e-05,4,0.8390804597701149
BreastCancer,CART,40,0.0001,4,0.8390804597701149
BreastCancer,CART,40,0.001,4,0.8390804597701149
BreastCancer,CART,40,0.01,4,0.9022988505747126
BreastCancer,CART,40,0.1,4,0.6206896551724138
BreastCancer,CART,40,1,4,0.6206896551724138
BreastCancer,CART,40,10,4,0.6206896551724138
BreastCancer,CART,40,100,4,0.6206896551724138
BreastCancer,CART,40,1000,4,0.6206896551724138
BreastCancer,CART,40,10000,4,0.6206896551724138
BreastCancer,CART,40,100000,4,0.6206896551724138
Heart,CART,20,1e-05,1,0.7205882352941176
Heart,CART,20,0.0001,1,0.7205882352941176
Heart,CART,20,0.001,1,0.7205882352941176
Heart,CART,20,0.01,1,0.7205882352941176
Heart,CART,20,0.1,1,0.4852941176470588
Heart,CART,20,1,1,0.4852941176470588
Heart,CART,20,10,1,0.4852941176470588
Heart,CART,20,100,1,0.4852941176470588
Heart,CART,20,1000,1,0.4852941176470588
Heart,CART,20,10000,1,0.4852941176470588
Heart,CART,20,100000,1,0.4852941176470588
Heart,CART,20,1e-05,2,0.6176470588235294
Heart,CART,20,0.0001,2,0.6176470588235294
Heart,CART,20,0.001,2,0.6176470588235294
Heart,CART,20,0.01,2,0.6176470588235294
Heart,CART,20,0.1,2,0.35294117647058826
Heart,CART,20,1,2,0.35294117647058826
Heart,CART,20,10,2,0.35294117647058826
Heart,CART,20,100,2,0.35294117647058826
Heart,CART,20,1000,2,0.35294117647058826
Heart,CART,20,10000,2,0.35294117647058826
Heart,CART,20,100000,2,0.35294117647058826
Heart,CART,20,1e-05,3,0.6716417910447762
Heart,CART,20,0.0001,3,0.6716417910447762
Heart,CART,20,0.001,3,0.6716417910447762
Heart,CART,20,0.01,3,0.6716417910447762
Heart,CART,20,0.1,3,0.5522388059701493
Heart,CART,20,1,3,0.5522388059701493
Heart,CART,20,10,3,0.5522388059701493
Heart,CART,20,100,3,0.5522388059701493
Heart,CART,20,1000,3,0.5522388059701493
Heart,CART,20,10000,3,0.5522388059701493
Heart,CART,20,100000,3,0.5522388059701493
Heart,CART,20,1e-05,4,0.7014925373134329
Heart,CART,20,0.0001,4,0.7014925373134329
Heart,CART,20,0.001,4,0.7014925373134329
Heart,CART,20,0.01,4,0.7014925373134329
Heart,CART,20,0.1,4,0.5373134328358209
Heart,CART,20,1,4,0.5373134328358209
Heart,CART,20,10,4,0.5373134328358209
Heart,CART,20,100,4,0.5373134328358209
Heart,CART,20,1000,4,0.5373134328358209
Heart,CART,20,10000,4,0.5373134328358209
Heart,CART,20,100000,4,0.5373134328358209
Heart,CART,30,1e-05,1,0.7058823529411765
Heart,CART,30,0.0001,1,0.7058823529411765
Heart,CART,30,0.001,1,0.7058823529411765
Heart,CART,30,0.01,1,0.7058823529411765
Heart,CART,30,0.1,1,0.5882352941176471
Heart,CART,30,1,1,0.5882352941176471
Heart,CART,30,10,1,0.5882352941176471
Heart,CART,30,100,1,0.5882352941176471
Heart,CART,30,1000,1,0.5882352941176471
Heart,CART,30,10000,1,0.5882352941176471
Heart,CART,30,100000,1,0.5882352941176471
Heart,CART,30,1e-05,2,0.5735294117647058
Heart,CART,30,0.0001,2,0.5735294117647058
Heart,CART,30,0.001,2,0.5735294117647058
Heart,CART,30,0.01,2,0.5735294117647058
Heart,CART,30,0.1,2,0.5441176470588235
Heart,CART,30,1,2,0.5441176470588235
Heart,CART,30,10,2,0.5441176470588235
Heart,CART,30,100,2,0.5441176470588235
Heart,CART,30,1000,2,0.5441176470588235
Heart,CART,30,10000,2,0.5441176470588235
Heart,CART,30,100000,2,0.5441176470588235
Heart,CART,30,1e-05,3,0.5671641791044776
Heart,CART,30,0.0001,3,0.5671641791044776
Heart,CART,30,0.001,3,0.5671641791044776
Heart,CART,30,0.01,3,0.5671641791044776
Heart,CART,30,0.1,3,0.5522388059701493
Heart,CART,30,1,3,0.5522388059701493
Heart,CART,30,10,3,0.5522388059701493
Heart,CART,30,100,3,0.5522388059701493
Heart,CART,30,1000,3,0.5522388059701493
Heart,CART,30,10000,3,0.5522388059701493
Heart,CART,30,100000,3,0.5522388059701493
Heart,CART,30,1e-05,4,0.7611940298507462
Heart,CART,30,0.0001,4,0.7611940298507462
Heart,CART,30,0.001,4,0.7611940298507462
Heart,CART,30,0.01,4,0.7761194029850746
Heart,CART,30,0.1,4,0.5373134328358209
Heart,CART,30,1,4,0.5373134328358209
Heart,CART,30,10,4,0.5373134328358209
Heart,CART,30,100,4,0.5373134328358209
Heart,CART,30,1000,4,0.5373134328358209
Heart,CART,30,10000,4,0.5373134328358209
Heart,CART,30,100000,4,0.5373134328358209
Heart,CART,40,1e-05,1,0.7647058823529411
Heart,CART,40,0.0001,1,0.7647058823529411
Heart,CART,40,0.001,1,0.7647058823529411
Heart,CART,40,0.01,1,0.7941176470588235
Heart,CART,40,0.1,1,0.6176470588235294
Heart,CART,40,1,1,0.6176470588235294
Heart,CART,40,10,1,0.6176470588235294
Heart,CART,40,100,1,0.6176470588235294
Heart,CART,40,1000,1,0.6176470588235294
Heart,CART,40,10000,1,0.6176470588235294
Heart,CART,40,100000,1,0.6176470588235294
Heart,CART,40,1e-05,2,0.6176470588235294
Heart,CART,40,0.0001,2,0.6176470588235294
Heart,CART,40,0.001,2,0.6176470588235294
Heart,CART,40,0.01,2,0.6617647058823529
Heart,CART,40,0.1,2,0.5735294117647058
Heart,CART,40,1,2,0.5735294117647058
Heart,CART,40,10,2,0.5735294117647058
Heart,CART,40,100,2,0.5735294117647058
Heart,CART,40,1000,2,0.5735294117647058
Heart,CART,40,10000,2,0.5735294117647058
Heart,CART,40,100000,2,0.5735294117647058
Heart,CART,40,1e-05,3,0.5970149253731343
Heart,CART,40,0.0001,3,0.5970149253731343
Heart,CART,40,0.001,3,0.5970149253731343
Heart,CART,40,0.01,3,0.5970149253731343
Heart,CART,40,0.1,3,0.5522388059701493
Heart,CART,40,1,3,0.5522388059701493
Heart,CART,40,10,3,0.5522388059701493
Heart,CART,40,100,3,0.5522388059701493
Heart,CART,40,1000,3,0.5522388059701493
Heart,CART,40,10000,3,0.5522388059701493
Heart,CART,40,100000,3,0.5522388059701493
Heart,CART,40,1e-05,4,0.6119402985074627
Heart,CART,40,0.0001,4,0.6119402985074627
Heart,CART,40,0.001,4,0.6119402985074627
Heart,CART,40,0.01,4,0.6119402985074627
Heart,CART,40,0.1,4,0.5223880597014925
Heart,CART,40,1,4,0.5223880597014925
Heart,CART,40,10,4,0.5223880597014925
Heart,CART,40,100,4,0.5223880597014925
Heart,CART,40,1000,4,0.5223880597014925
Heart,CART,40,10000,4,0.5223880597014925
Heart,CART,40,100000,4,0.5223880597014925
Ionosphere,CART,20,1e-05,1,0.75
Ionosphere,CART,20,0.0001,1,0.75
Ionosphere,CART,20,0.001,1,0.75
Ionosphere,CART,20,0.01,1,0.75
Ionosphere,CART,20,0.1,1,0.625
Ionosphere,CART,20,1,1,0.625
Ionosphere,CART,20,10,1,0.625
Ionosphere,CART,20,100,1,0.625
Ionosphere,CART,20,1000,1,0.625
Ionosphere,CART,20,10000,1,0.625
Ionosphere,CART,20,100000,1,0.625
Ionosphere,CART,20,1e-05,2,0.7727272727272727
Ionosphere,CART,20,0.0001,2,0.7727272727272727
Ionosphere,CART,20,0.001,2,0.7727272727272727
Ionosphere,CART,20,0.01,2,0.7727272727272727
Ionosphere,CART,20,0.1,2,0.5795454545454546
Ionosphere,CART,20,1,2,0.5795454545454546
Ionosphere,CART,20,10,2,0.5795454545454546
Ionosphere,CART,20,100,2,0.5795454545454546
Ionosphere,CART,20,1000,2,0.5795454545454546
Ionosphere,CART,20,10000,2,0.5795454545454546
Ionosphere,CART,20,100000,2,0.5795454545454546
Ionosphere,CART,20,1e-05,3,0.875
Ionosphere,CART,20,0.0001,3,0.875
Ionosphere,CART,20,0.001,3,0.875
Ionosphere,CART,20,0.01,3,0.8863636363636364
Ionosphere,CART,20,0.1,3,0.6818181818181818
Ionosphere,CART,20,1,3,0.6818181818181818
Ionosphere,CART,20,10,3,0.6818181818181818
Ionosphere,CART,20,100,3,0.6818181818181818
Ionosphere,CART,20,1000,3,0.6818181818181818
Ionosphere,CART,20,10000,3,0.6818181818181818
Ionosphere,CART,20,100000,3,0.6818181818181818
Ionosphere,CART,20,1e-05,4,0.8390804597701149
Ionosphere,CART,20,0.0001,4,0.8390804597701149
Ionosphere,CART,20,0.001,4,0.8390804597701149
Ionosphere,CART,20,0.01,4,0.8390804597701149
Ionosphere,CART,20,0.1,4,0.6781609195402298
Ionosphere,CART,20,1,4,0.6781609195402298
Ionosphere,CART,20,10,4,0.6781609195402298
Ionosphere,CART,20,100,4,0.6781609195402298
Ionosphere,CART,20,1000,4,0.6781609195402298
Ionosphere,CART,20,10000,4,0.6781609195402298
Ionosphere,CART,20,100000,4,0.6781609195402298
Ionosphere,CART,30,1e-05,1,0.6590909090909091
Ionosphere,CART,30,0.0001,1,0.6590909090909091
Ionosphere,CART,30,0.001,1,0.6590909090909091
Ionosphere,CART,30,0.01,1,0.6590909090909091
Ionosphere,CART,30,0.1,1,0.6590909090909091
Ionosphere,CART,30,1,1,0.6590909090909091
Ionosphere,CART,30,10,1,0.6590909090909091
Ionosphere,CART,30,100,1,0.6590909090909091
Ionosphere,CART,30,1000,1,0.6590909090909091
Ionosphere,CART,30,10000,1,0.6590909090909091
Ionosphere,CART,30,100000,1,0.6590909090909091
Ionosphere,CART,30,1e-05,2,0.5795454545454546
Ionosphere,CART,30,0.0001,2,0.5795454545454546
Ionosphere,CART,30,0.001,2,0.5795454545454546
Ionosphere,CART,30,0.01,2,0.5795454545454546
Ionosphere,CART,30,0.1,2,0.5568181818181818
Ionosphere,CART,30,1,2,0.5568181818181818
Ionosphere,CART,30,10,2,0.5568181818181818
Ionosphere,CART,30,100,2,0.5568181818181818
Ionosphere,CART,30,1000,2,0.5568181818181818
Ionosphere,CART,30,10000,2,0.5568181818181818
Ionosphere,CART,30,100000,2,0.5568181818181818
Ionosphere,CART,30,1e-05,3,0.8636363636363636
Ionosphere,CART,30,0.0001,3,0.8636363636363636
Ionosphere,CART,30,0.001,3,0.8636363636363636
Ionosphere,CART,30,0.01,3,0.8636363636363636
Ionosphere,CART,30,0.1,3,0.6818181818181818
Ionosphere,CART,30,1,3,0.6818181818181818
Ionosphere,CART,30,10,3,0.6818181818181818
Ionosphere,CART,30,100,3,0.6818181818181818
Ionosphere,CART,30,1000,3,0.6818181818181818
Ionosphere,CART,30,10000,3,0.6818181818181818
Ionosphere,CART,30,100000,3,0.6818181818181818
Ionosphere,CART,30,1e-05,4,0.8390804597701149
Ionosphere,CART,30,0.0001,4,0.8390804597701149
Ionosphere,CART,30,0.001,4,0.8390804597701149
Ionosphere,CART,30,0.01,4,0.8275862068965517
Ionosphere,CART,30,0.1,4,0.6666666666666666
Ionosphere,CART,30,1,4,0.6666666666666666
Ionosphere,CART,30,10,4,0.6666666666666666
Ionosphere,CART,30,100,4,0.6666666666666666
Ionosphere,CART,30,1000,4,0.6666666666666666
Ionosphere,CART,30,10000,4,0.6666666666666666
Ionosphere,CART,30,100000,4,0.6666666666666666
Ionosphere,CART,40,1e-05,1,0.6136363636363636
Ionosphere,CART,40,0.0001,1,0.6136363636363636
Ionosphere,CART,40,0.001,1,0.6136363636363636
Ionosphere,CART,40,0.01,1,0.6136363636363636
Ionosphere,CART,40,0.1,1,0.6136363636363636
Ionosphere,CART,40,1,1,0.6136363636363636
Ionosphere,CART,40,10,1,0.6136363636363636
Ionosphere,CART,40,100,1,0.6136363636363636
Ionosphere,CART,40,1000,1,0.6136363636363636
Ionosphere,CART,40,10000,1,0.6136363636363636
Ionosphere,CART,40,100000,1,0.6136363636363636
Ionosphere,CART,40,1e-05,2,0.6590909090909091
Ionosphere,CART,40,0.0001,2,0.6590909090909091
Ionosphere,CART,40,0.001,2,0.6590909090909091
Ionosphere,CART,40,0.01,2,0.6704545454545454
Ionosphere,CART,40,0.1,2,0.6590909090909091
Ionosphere,CART,40,1,2,0.6590909090909091
Ionosphere,CART,40,10,2,0.6590909090909091
Ionosphere,CART,40,100,2,0.6590909090909091
Ionosphere,CART,40,1000,2,0.6590909090909091
Ionosphere,CART,40,10000,2,0.6590909090909091
Ionosphere,CART,40,100000,2,0.6590909090909091
Ionosphere,CART,40,1e-05,3,0.7045454545454546
Ionosphere,CART,40,0.0001,3,0.7045454545454546
Ionosphere,CART,40,0.001,3,0.7045454545454546
Ionosphere,CART,40,0.01,3,0.7045454545454546
Ionosphere,CART,40,0.1,3,0.6590909090909091
Ionosphere,CART,40,1,3,0.6590909090909091
Ionosphere,CART,40,10,3,0.6590909090909091
Ionosphere,CART,40,100,3,0.6590909090909091
